M,PPFD,W,V
202.466728065503,136,WW,A
215.843936830859,147,WW,A
331.300461191071,192,WW,A
295.472523950139,211,WW,A
212.676156757688,136,WW,A
221.730553112751,147,WW,A
312.416586696329,192,WW,A
360.63822398114,211,WW,A
228.926848609157,136,WW,B
282.6181435471,147,WW,B
299.204924462622,192,WW,B
327.928542538761,211,WW,B
230.625146946732,136,WW,B
212.615199087716,147,WW,B
307.79355015558,192,WW,B
348.532174879182,211,WW,B
221.629796463092,136,WW,C
248.186272782387,147,WW,C
307.293317794333,192,WW,C
322.190652610328,211,WW,C
216.218060646497,136,WW,C
228.44840170101,147,WW,C
339.441345889725,192,WW,C
325.451228103598,211,WW,C
169.723689975597,136,WLD,A
188.209735919491,147,WLD,A
240.652310894037,192,WLD,A
255.573947825413,211,WLD,A
195.561745365986,136,WLD,A
180.158175164383,147,WLD,A
196.913272456996,192,WLD,A
242.369864327841,211,WLD,A
193.147627553667,136,WLD,B
204.574040005679,147,WLD,B
221.281403785314,192,WLD,B
287.461137603346,211,WLD,B
162.711971812137,136,WLD,B
183.461621655503,147,WLD,B
252.040732961585,192,WLD,B
306.688717191421,211,WLD,B
185.283883106675,136,WLD,C
186.124090358121,147,WLD,C
248.239595417655,192,WLD,C
249.695182223421,211,WLD,C
152.418128587306,136,WLD,C
181.194430707441,147,WLD,C
241.927982030524,192,WLD,C
239.589635734107,211,WLD,C
165.665049683426,136,WD,A
171.798997095288,147,WD,A
205.780200193987,192,WD,A
189.359532666916,211,WD,A
183.80825225047,136,WD,A
168.040646056405,147,WD,A
172.836137854421,192,WD,A
198.340671072526,211,WD,A
157.782961899806,136,WD,B
152.721847940864,147,WD,B
226.707938301324,192,WD,B
186.582395591944,211,WD,B
134.493245055121,136,WD,B
125.177063842529,147,WD,B
187.365432230628,192,WD,B
200.825906410817,211,WD,B
172.804185744748,136,WD,C
160.439419423825,147,WD,C
180.607246418304,192,WD,C
215.804693549791,211,WD,C
152.734166317952,136,WD,C
168.888781054634,147,WD,C
235.519113400901,192,WD,C
194.946674763199,211,WD,C
