Sire,dam,progeny,fec
1,1,1,58
1,1,2,64
1,1,3,50
1,1,4,53
1,1,5,50
1,2,1,54
1,2,2,85
1,2,3,48
1,2,4,55
1,2,5,48
1,3,1,51
1,3,2,76
1,3,3,58
1,3,4,48
1,3,5,55
1,4,1,28
1,4,2,44
1,4,3,21
1,4,4,31
1,4,5,17
1,5,1,44
1,5,2,51
1,5,3,27
1,5,4,42
1,5,5,40
2,1,1,62
2,1,2,52
2,1,3,66
2,1,4,56
2,1,5,37
2,2,1,59
2,2,2,52
2,2,3,62
2,2,4,56
2,2,5,58
2,3,1,48
2,3,2,63
2,3,3,21
2,3,4,60
2,3,5,50
2,4,1,38
2,4,2,56
2,4,3,33
2,4,4,22
2,4,5,68
3,1,1,70
3,1,2,36
3,1,3,64
3,1,4,46
3,1,5,31
3,2,1,43
3,2,2,17
3,2,3,23
3,2,4,76
3,2,5,12
3,3,1,18
3,3,2,9
3,3,3,18
3,3,4,53
3,3,5,43
3,4,1,53
3,4,2,57
3,4,3,60
3,4,4,50
3,4,5,62
3,5,1,83
3,5,2,22
3,5,3,22
3,5,4,71
3,5,5,71
4,1,1,70
4,1,2,66
4,1,3,64
4,1,4,43
4,1,5,46
4,2,1,34
4,2,2,16
4,2,3,14
4,2,4,19
4,2,5,17
4,3,1,46
4,3,2,62
4,3,3,72
4,3,4,54
4,3,5,55
4,4,1,52
4,4,2,61
4,4,3,57
4,4,4,71
4,4,5,52
4,5,1,51
4,5,2,45
4,5,3,51
4,5,4,44
4,5,5,44
5,1,1,75
5,1,2,62
5,1,3,60
5,1,4,64
5,1,5,64
5,2,1,92
5,2,2,88
5,2,3,67
5,2,4,72
5,2,5,77
5,3,1,85
5,3,2,64
5,3,3,48
5,3,4,50
5,3,5,59
5,4,1,93
5,4,2,47
5,4,3,58
5,4,4,48
5,4,5,39
6,1,1,73
6,1,2,33
6,1,3,25
6,1,4,53
6,1,5,29
6,2,1,72
6,2,2,75
6,2,3,75
6,2,4,77
6,2,5,63
6,3,1,54
6,3,2,40
6,3,3,58
6,3,4,52
6,3,5,53
6,4,1,63
6,4,2,57
6,4,3,36
6,4,4,20
6,4,5,49
6,5,1,67
6,5,2,85
6,5,3,46
6,5,4,68
6,5,5,44
7,1,1,32
7,1,2,64
7,1,3,72
7,1,4,40
7,1,5,40
7,2,1,70
7,2,2,19
7,2,3,31
7,2,4,66
7,2,5,53
7,3,1,63
7,3,2,50
7,3,3,78
7,3,4,77
7,3,5,48
7,4,1,73
7,4,2,67
7,4,3,57
7,4,4,33
7,4,5,53
7,5,1,79
7,5,2,68
7,5,3,39
7,5,4,48
7,5,5,58
8,1,1,56
8,1,2,36
8,1,3,40
8,1,4,60
8,1,5,51
8,2,1,63
8,2,2,73
8,2,3,51
8,2,4,74
8,2,5,64
8,3,1,48
8,3,2,28
8,3,3,32
8,3,4,50
8,3,5,44
8,4,1,79
8,4,2,27
8,4,3,17
8,4,4,41
8,4,5,30
9,1,1,51
9,1,2,48
9,1,3,78
9,1,4,31
9,1,5,53
9,2,1,65
9,2,2,40
9,2,3,46
9,2,4,39
9,2,5,58
9,3,1,72
9,3,2,52
9,3,3,56
9,3,4,61
9,3,5,46
9,4,1,28
9,4,2,25
9,4,3,63
9,4,4,20
9,4,5,26
10,1,1,35
10,1,2,60
10,1,3,17
10,1,4,65
10,1,5,31
10,2,1,78
10,2,2,74
10,2,3,72
10,2,4,72
10,2,5,71
10,3,1,69
10,3,2,76
10,3,3,54
10,3,4,69
10,3,5,51
10,4,1,79
10,4,2,84
10,4,3,85
10,4,4,51
10,4,5,73
11,1,1,76
11,1,2,56
11,1,3,80
11,1,4,74
11,1,5,54
11,2,1,69
11,2,2,72
11,2,3,68
11,2,4,81
11,2,5,45
11,3,1,43
11,3,2,40
11,3,3,48
11,3,4,45
11,3,5,74
11,4,1,58
11,4,2,47
11,4,3,63
11,4,4,45
11,4,5,45
11,5,1,62
11,5,2,72
11,5,3,63
11,5,4,47
11,5,5,64
12,1,1,72
12,1,2,47
12,1,3,56
12,1,4,37
12,1,5,65
12,2,1,47
12,2,2,52
12,2,3,59
12,2,4,51
12,2,5,25
12,3,1,49
12,3,2,48
12,3,3,70
12,3,4,52
12,3,5,67
12,4,1,54
12,4,2,58
12,4,3,54
12,4,4,64
12,4,5,56
12,5,1,44
12,5,2,70
12,5,3,47
12,5,4,41
12,5,5,45
13,1,1,48
13,1,2,55
13,1,3,22
13,1,4,61
13,1,5,57
13,2,1,43
13,2,2,44
13,2,3,30
13,2,4,42
13,2,5,25
13,3,1,58
13,3,2,55
13,3,3,55
13,3,4,46
13,3,5,50
13,4,1,82
13,4,2,94
13,4,3,43
13,4,4,38
13,4,5,19
13,5,1,81
13,5,2,84
13,5,3,46
13,5,4,81
13,5,5,48
14,1,1,28
14,1,2,55
14,1,3,27
14,1,4,48
14,1,5,52
14,2,1,39
14,2,2,48
14,2,3,30
14,2,4,51
14,2,5,43
14,3,1,24
14,3,2,20
14,3,3,14
14,3,4,18
14,3,5,48
14,4,1,60
14,4,2,45
14,4,3,57
14,4,4,38
14,4,5,62
14,5,1,52
14,5,2,58
14,5,3,54
14,5,4,64
14,5,5,49
15,1,1,88
15,1,2,48
15,1,3,48
15,1,4,61
15,1,5,41
15,2,1,64
15,2,2,78
15,2,3,67
15,2,4,71
15,2,5,59
15,3,1,64
15,3,2,59
15,3,3,51
15,3,4,67
15,3,5,72
15,4,1,86
15,4,2,81
15,4,3,71
15,4,4,86
15,4,5,73
15,5,1,75
15,5,2,61
15,5,3,42
15,5,4,65
15,5,5,58
16,1,1,50
16,1,2,23
16,1,3,74
16,1,4,64
16,1,5,51
16,2,1,74
16,2,2,68
16,2,3,61
16,2,4,60
16,2,5,60
16,3,1,72
16,3,2,62
16,3,3,68
16,3,4,78
16,3,5,63
16,4,1,68
16,4,2,72
16,4,3,61
16,4,4,56
16,4,5,73
17,1,1,14
17,1,2,26
17,1,3,44
17,1,4,34
17,1,5,51
17,2,1,57
17,2,2,75
17,2,3,45
17,2,4,68
17,2,5,77
17,3,1,51
17,3,2,35
17,3,3,61
17,3,4,34
17,3,5,57
17,4,1,62
17,4,2,49
17,4,3,40
17,4,4,45
17,4,5,55
17,5,1,65
17,5,2,24
17,5,3,19
17,5,4,28
17,5,5,68
18,1,1,28
18,1,2,42
18,1,3,19
18,1,4,24
18,1,5,15
18,2,1,80
18,2,2,57
18,2,3,76
18,2,4,30
18,2,5,72
18,3,1,61
18,3,2,46
18,3,3,50
18,3,4,64
18,3,5,41
18,4,1,71
18,4,2,59
18,4,3,58
