M,Loc,W
191.95935976703,North,WW
216.793936830859,West,WW
328.246461191071,East,WW
312.874523950139,South,WW
184.119878901899,North,WW
222.119553112751,West,WW
312.180586696329,East,WW
378.38922398114,South,WW
246.645399683163,North,WW
282.9741435471,West,WW
297.324924462622,East,WW
350.040542538761,South,WW
230.270737471195,North,WW
211.441199087716,West,WW
307.00055015558,East,WW
370.686174879182,South,WW
151.001126463032,North,WW
246.947272782387,West,WW
304.069317794333,East,WW
341.783652610328,South,WW
138.74135726224,North,WW
229.70140170101,West,WW
341.417345889725,East,WW
345.595228103598,South,WW
166.446515034874,North,WLD
189.221735919491,West,WLD
240.825310894037,East,WLD
256.867947825413,South,WLD
193.509408728826,North,WLD
178.469175164383,West,WLD
192.782272456996,East,WLD
243.200864327841,South,WLD
178.013475922163,North,WLD
202.232040005679,West,WLD
220.840403785314,East,WLD
286.928137603346,South,WLD
139.127830353863,North,WLD
187.038621655503,West,WLD
253.848732961585,East,WLD
305.236717191421,South,WLD
226.724370937607,North,WLD
183.604090358121,West,WLD
248.841595417655,East,WLD
249.829182223421,South,WLD
117.466577127862,North,WLD
180.872430707441,West,WLD
241.976982030524,East,WLD
239.829635734107,South,WLD
116.256641726128,North,WD
172.590997095288,West,WD
204.713200193987,East,WD
188.485532666916,South,WD
210.150820795326,North,WD
166.860646056405,West,WD
172.077137854421,East,WD
200.583671072526,South,WD
180.308256994108,North,WD
156.532847940864,West,WD
228.895938301324,East,WD
188.066395591944,South,WD
153.55341537317,North,WD
128.437063842529,West,WD
187.110432230628,East,WD
198.209906410817,South,WD
156.432338924848,North,WD
162.157419423825,West,WD
181.184246418304,East,WD
214.407693549791,South,WD
173.724482447219,North,WD
168.309781054634,West,WD
230.198113400901,East,WD
194.561674763199,South,WD
