y,Ymoyen,graine,engrais,parcelle,plant,mesure,IDparcelle
11.68848594,11.36002119,1,1,1,1,1,111
11.70633522,,1,1,1,1,2,111
11.24872509,,1,1,1,2,1,111
11.29781415,,1,1,1,2,2,111
10.94618159,,1,1,1,3,1,111
11.00451438,,1,1,1,3,2,111
11.439771,,1,1,1,4,1,111
11.54834215,,1,1,1,4,2,111
14.17614249,13.82640277,1,2,1,1,1,121
14.16005222,,1,2,1,1,2,121
13.71739505,,1,2,1,2,1,121
13.62998212,,1,2,1,2,2,121
13.87303596,,1,2,1,3,1,121
13.95744886,,1,2,1,3,2,121
13.53879636,,1,2,1,4,1,121
13.55836915,,1,2,1,4,2,121
12.40650773,12.51232073,1,3,1,1,1,131
12.46395798,,1,3,1,1,2,131
12.67794061,,1,3,1,2,1,131
12.64505307,,1,3,1,2,2,131
12.3064331,,1,3,1,3,1,131
12.08766734,,1,3,1,3,2,131
12.7599747,,1,3,1,4,1,131
12.75103131,,1,3,1,4,2,131
12.5438164,12.89512633,2,1,1,1,1,211
12.55462374,,2,1,1,1,2,211
13.07921698,,2,1,1,2,1,211
13.03184249,,2,1,1,2,2,211
12.72880479,,2,1,1,3,1,211
12.70667245,,2,1,1,3,2,211
13.2557957,,2,1,1,4,1,211
13.26023807,,2,1,1,4,2,211
11.60877154,11.70909874,2,2,1,1,1,221
11.69486834,,2,2,1,1,2,221
11.93368951,,2,2,1,2,1,221
11.97886476,,2,2,1,2,2,221
11.72948932,,2,2,1,3,1,221
11.67992943,,2,2,1,3,2,221
11.55362822,,2,2,1,4,1,221
11.49354882,,2,2,1,4,2,221
15.68220067,15.85423527,2,3,1,1,1,231
15.72635227,,2,3,1,1,2,231
16.13341063,,2,3,1,2,1,231
16.20216801,,2,3,1,2,2,231
15.88148438,,2,3,1,3,1,231
15.88430129,,2,3,1,3,2,231
15.67340528,,2,3,1,4,1,231
15.65055966,,2,3,1,4,2,231
13.59686879,13.57477788,3,1,1,1,1,311
13.54541351,,3,1,1,1,2,311
13.5338374,,3,1,1,2,1,311
13.51572509,,3,1,1,2,2,311
13.63046404,,3,1,1,3,1,311
13.69005637,,3,1,1,3,2,311
13.51954504,,3,1,1,4,1,311
13.56631278,,3,1,1,4,2,311
16.4282363,16.39945876,3,2,1,1,1,321
16.46632571,,3,2,1,1,2,321
16.40125541,,3,2,1,2,1,321
16.42181202,,3,2,1,2,2,321
16.27840544,,3,2,1,3,1,321
16.20903274,,3,2,1,3,2,321
16.49835559,,3,2,1,4,1,321
16.49224688,,3,2,1,4,2,321
15.66695401,15.72224858,3,3,1,1,1,331
15.66428113,,3,3,1,1,2,331
15.99454113,,3,3,1,2,1,331
15.95785273,,3,3,1,2,2,331
15.70143874,,3,3,1,3,1,331
15.69579011,,3,3,1,3,2,331
15.49897577,,3,3,1,4,1,331
15.59815504,,3,3,1,4,2,331
12.38382088,12.78777832,1,1,2,1,1,112
12.33097629,,1,1,2,1,2,112
12.89911281,,1,1,2,2,1,112
12.90036235,,1,1,2,2,2,112
13.08137725,,1,1,2,3,1,112
12.96987916,,1,1,2,3,2,112
12.88694228,,1,1,2,4,1,112
12.84975555,,1,1,2,4,2,112
13.79716601,13.67311573,1,2,2,1,1,122
13.78870819,,1,2,2,1,2,122
13.33650846,,1,2,2,2,1,122
13.32055998,,1,2,2,2,2,122
13.77618308,,1,2,2,3,1,122
13.65760655,,1,2,2,3,2,122
13.84123525,,1,2,2,4,1,122
13.86695832,,1,2,2,4,2,122
15.12013144,15.06052931,1,3,2,1,1,132
15.14123766,,1,3,2,1,2,132
15.45504215,,1,3,2,2,1,132
15.45179879,,1,3,2,2,2,132
14.93596319,,1,3,2,3,1,132
14.94657079,,1,3,2,3,2,132
14.71452487,,1,3,2,4,1,132
14.71896563,,1,3,2,4,2,132
13.7745047,13.6752975,2,1,2,1,1,212
13.80159605,,2,1,2,1,2,212
14.27998111,,2,1,2,2,1,212
14.25074272,,2,1,2,2,2,212
13.59195962,,2,1,2,3,1,212
13.70504232,,2,1,2,3,2,212
12.96728124,,2,1,2,4,1,212
13.03127225,,2,1,2,4,2,212
12.6013341,12.57098633,2,2,2,1,1,222
12.62153935,,2,2,2,1,2,222
12.1701892,,2,2,2,2,1,222
12.16130357,,2,2,2,2,2,222
12.89722694,,2,2,2,3,1,222
12.83469545,,2,2,2,3,2,222
12.64610345,,2,2,2,4,1,222
12.63549858,,2,2,2,4,2,222
16.72580117,16.82415057,2,3,2,1,1,232
16.78824646,,2,3,2,1,2,232
16.86370516,,2,3,2,2,1,232
16.80792583,,2,3,2,2,2,232
16.73725183,,2,3,2,3,1,232
16.67608643,,2,3,2,3,2,232
16.98828989,,2,3,2,4,1,232
17.0058978,,2,3,2,4,2,232
16.61925595,16.94696867,3,1,2,1,1,312
16.63160765,,3,1,2,1,2,312
17.16239406,,3,1,2,2,1,312
17.057919,,3,1,2,2,2,312
17.20981121,,3,1,2,3,1,312
17.20120851,,3,1,2,3,2,312
16.85001263,,3,1,2,4,1,312
16.84354037,,3,1,2,4,2,312
